state,Biden,Bloomberg,County,Rpt.,Sanders,Town,Warren
ME,1103,543,,100%,1290,Biddeford,344
ME,1178,484,,100%,1111,Saco,459
ME,1246,454,,100%,675,Falmouth,519
ME,1117,419,,100%,713,Cape Elizabeth,559
ME,1110,392,,100%,782,York,429
ME,956,269,,100%,1002,Gorham,436
ME,900,396,,100%,800,Auburn,344
ME,975,383,,100%,660,Kennebunk,390
ME,1040,307,,100%,542,Yarmouth,491
ME,733,235,,100%,1058,Westbrook,427
ME,738,226,,100%,783,Waterville,482
ME,798,261,,100%,673,Freeport,450
ME,776,198,,100%,730,Kittery,437
ME,789,328,,100%,731,Augusta,297
ME,753,260,,100%,827,Windham,258
ME,763,293,,100%,716,Sanford,220
ME,441,114,,100%,1117,Orono,369
ME,769,285,,100%,442,Cumberland,356
ME,663,256,,100%,502,Topsham,353
ME,787,223,,100%,470,Wells,238
ME,555,196,,100%,653,Bath,366
ME,585,191,,100%,467,Camden,401
ME,604,294,,100%,452,Old Orchrd Bch,225
